Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,11603
design__instance__area,223686
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_3v30,0
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,40
design__max_cap_violation__count__corner:nom_tt_025C_3v30,0
power__internal__total,0.014909585006535053
power__switching__total,0.0063222614116966724
power__leakage__total,5.717609496969089E-7
power__total,0.021232418715953827
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.7300702471434238
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.7235332537895521
timing__hold__ws__corner:nom_tt_025C_3v30,0.5643683458087247
timing__setup__ws__corner:nom_tt_025C_3v30,6.553849204397505
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.564368
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.524590
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:nom_ss_125C_3v00,100
design__max_fanout_violation__count__corner:nom_ss_125C_3v00,40
design__max_cap_violation__count__corner:nom_ss_125C_3v00,0
clock__skew__worst_hold__corner:nom_ss_125C_3v00,-1.1706143052906903
clock__skew__worst_setup__corner:nom_ss_125C_3v00,1.159610662537821
timing__hold__ws__corner:nom_ss_125C_3v00,0.3279012709722523
timing__setup__ws__corner:nom_ss_125C_3v00,-2.7128398073585362
timing__hold__tns__corner:nom_ss_125C_3v00,0.0
timing__setup__tns__corner:nom_ss_125C_3v00,-21.656886674758713
timing__hold__wns__corner:nom_ss_125C_3v00,0
timing__setup__wns__corner:nom_ss_125C_3v00,-2.7128398073585362
timing__hold_vio__count__corner:nom_ss_125C_3v00,0
timing__hold_r2r__ws__corner:nom_ss_125C_3v00,1.437000
timing__hold_r2r_vio__count__corner:nom_ss_125C_3v00,0
timing__setup_vio__count__corner:nom_ss_125C_3v00,39
timing__setup_r2r__ws__corner:nom_ss_125C_3v00,-2.712840
timing__setup_r2r_vio__count__corner:nom_ss_125C_3v00,39
design__max_slew_violation__count__corner:nom_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:nom_ff_n40C_3v60,40
design__max_cap_violation__count__corner:nom_ff_n40C_3v60,0
clock__skew__worst_hold__corner:nom_ff_n40C_3v60,-0.537692239285487
clock__skew__worst_setup__corner:nom_ff_n40C_3v60,0.5330566139373628
timing__hold__ws__corner:nom_ff_n40C_3v60,0.19678925712643852
timing__setup__ws__corner:nom_ff_n40C_3v60,6.354374983832376
timing__hold__tns__corner:nom_ff_n40C_3v60,0.0
timing__setup__tns__corner:nom_ff_n40C_3v60,0.0
timing__hold__wns__corner:nom_ff_n40C_3v60,0
timing__setup__wns__corner:nom_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:nom_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:nom_ff_n40C_3v60,0.196789
timing__hold_r2r_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_vio__count__corner:nom_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:nom_ff_n40C_3v60,13.296064
timing__setup_r2r_vio__count__corner:nom_ff_n40C_3v60,0
design__max_slew_violation__count,161
design__max_fanout_violation__count,40
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.5278998498867405
clock__skew__worst_setup,0.5242264548612726
timing__hold__ws,0.19610691403620592
timing__setup__ws,-3.5969876983954725
timing__hold__tns,0.0
timing__setup__tns,-56.98854172090569
timing__hold__wns,0
timing__setup__wns,-3.5969876983954725
timing__hold_vio__count,0
timing__hold_r2r__ws,0.196107
timing__hold_r2r_vio__count,0
timing__setup_vio__count,158
timing__setup_r2r__ws,-3.596988
timing__setup_r2r_vio__count,158
design__die__bbox,0.0 0.0 711.2 325.36
design__core__bbox,3.36 3.92 707.84 321.44
design__io,45
design__die__area,231396
design__core__area,223686
design__instance__count__stdcell,5601
design__instance__area__stdcell,127366
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.569393
design__instance__utilization__stdcell,0.569393
design__rows,81
design__rows:GF018hv5v_mcu_sc7,81
design__sites,101898
design__sites:GF018hv5v_mcu_sc7,101898
design__instance__count__class:tie_cell,21
design__instance__area__class:tie_cell,184.397
design__instance__count__class:buffer,4
design__instance__area__class:buffer,122.931
design__instance__count__class:inverter,229
design__instance__area__class:inverter,2116.17
design__instance__count__class:sequential_cell,735
design__instance__area__class:sequential_cell,47284.6
design__instance__count__class:multi_input_combinational_cell,2249
design__instance__area__class:multi_input_combinational_cell,52946
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,162
design__instance__area__class:endcap_cell,711.245
design__instance__count__class:tap_cell,1454
design__instance__area__class:tap_cell,6383.64
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,175.84
design__instance__displacement__mean,0.031
design__instance__displacement__max,15.68
route__wirelength__estimated,163079
design__violations,0
design__instance__count__class:timing_repair_buffer,647
design__instance__area__class:timing_repair_buffer,12545.6
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,90
design__instance__area__class:clock_buffer,4965.54
design__instance__count__class:clock_inverter,11
design__instance__area__class:clock_inverter,215.13
flow__warnings__count:CTS-0179,6
flow__warnings__count:RSZ-0065,1
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,0
flow__warnings__count:RSZ-0062,1
flow__warnings__count:RSZ-2021,13
global_route__vias,28
global_route__wirelength,265515
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,3
route__net,3962
route__net__special,2
route__drc_errors__iter:0,9
route__wirelength__iter:0,175111
route__drc_errors__iter:1,0
route__wirelength__iter:1,175111
route__drc_errors__iter:2,134
route__wirelength__iter:2,175184
route__drc_errors__iter:3,1
route__wirelength__iter:3,175066
route__drc_errors__iter:4,0
route__wirelength__iter:4,175066
route__drc_errors,0
route__wirelength,175111
route__vias,25470
route__vias__singlecut,25470
route__vias__multicut,0
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,13.1712
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,598.38
